trial_num, prob_same,response_num, response_time,target_response, response_switch_target, actual_response, response_correct,response_switch_actual,blood sugar
3,0.75,13,1414,D,different_key,D,correct,same_key,normal
3,0.75,14,804,S,different_key,S,correct,different_key,normal
3,0.75,15,589,S,same_key,S,correct,same_key,normal
3,0.75,16,610,S,same_key,S,correct,same_key,normal
3,0.75,17,746,D,different_key,D,correct,different_key,normal
3,0.75,18,746,D,same_key,D,correct,same_key,normal
3,0.75,19,810,S,different_key,S,correct,different_key,normal
3,0.75,20,606,S,same_key,S,correct,same_key,normal
3,0.75,21,648,S,same_key,S,correct,same_key,normal
3,0.75,22,611,S,same_key,S,correct,same_key,normal
3,0.75,23,725,D,different_key,D,correct,different_key,normal
3,0.75,24,786,S,different_key,S,correct,different_key,normal
3,0.75,25,590,S,same_key,S,correct,same_key,normal
3,0.75,26,590,S,same_key,S,correct,same_key,normal
3,0.75,27,610,S,same_key,S,correct,same_key,normal
3,0.75,28,728,D,different_key,D,correct,different_key,normal
3,0.75,29,688,S,different_key,S,correct,different_key,normal
3,0.75,30,570,S,same_key,S,correct,same_key,normal
3,0.75,31,610,S,same_key,S,correct,same_key,normal
3,0.75,32,708,S,same_key,S,correct,same_key,normal
3,0.75,33,726,S,same_key,S,correct,same_key,normal
3,0.75,34,590,S,same_key,S,correct,same_key,normal
3,0.75,35,631,S,same_key,S,correct,same_key,normal
3,0.75,36,550,S,same_key,S,correct,same_key,normal
3,0.75,37,572,S,same_key,S,correct,same_key,normal
3,0.75,38,882,D,different_key,D,correct,different_key,normal
3,0.75,39,727,S,different_key,S,correct,different_key,normal
3,0.75,40,649,S,same_key,S,correct,same_key,normal
3,0.75,41,667,S,same_key,S,correct,same_key,normal
3,0.75,42,708,S,same_key,S,correct,same_key,normal
3,0.75,43,570,S,same_key,S,correct,same_key,normal
3,0.75,44,610,S,same_key,S,correct,same_key,normal
3,0.75,45,552,S,same_key,S,correct,same_key,normal
3,0.75,46,570,S,same_key,S,correct,same_key,normal
3,0.75,47,592,S,same_key,S,correct,same_key,normal
3,0.75,48,608,S,same_key,S,correct,same_key,normal
3,0.75,49,590,S,same_key,S,correct,same_key,normal
3,0.75,50,552,S,same_key,S,correct,same_key,normal
3,0.75,51,706,D,different_key,D,correct,different_key,normal
3,0.75,52,904,S,different_key,S,correct,different_key,normal
3,0.75,53,588,S,same_key,S,correct,same_key,normal
3,0.75,54,650,S,same_key,S,correct,same_key,normal
3,0.75,55,746,D,different_key,D,correct,different_key,normal
3,0.75,56,1000,D,same_key,D,correct,same_key,normal
3,0.75,57,708,S,different_key,S,correct,different_key,normal
3,0.75,58,864,D,different_key,D,correct,different_key,normal
3,0.75,59,804,S,different_key,S,correct,different_key,normal
3,0.75,60,610,S,same_key,S,correct,same_key,normal
3,0.75,61,629,S,same_key,S,correct,same_key,normal
3,0.75,62,532,S,same_key,S,correct,same_key,normal
3,0.75,63,554,S,same_key,S,correct,same_key,normal
3,0.75,64,568,S,same_key,S,correct,same_key,normal
3,0.75,65,550,S,same_key,S,correct,same_key,normal
3,0.75,66,572,S,same_key,S,correct,same_key,normal
3,0.75,67,803,D,different_key,D,correct,different_key,normal
3,0.75,68,884,D,same_key,D,correct,same_key,normal
3,0.75,69,686,S,different_key,S,correct,different_key,normal
3,0.75,70,573,S,same_key,S,correct,same_key,normal
3,0.75,71,607,S,same_key,S,correct,same_key,normal
3,0.75,72,572,S,same_key,S,correct,same_key,normal
3,0.75,73,746,S,same_key,S,correct,same_key,normal
3,0.75,74,844,D,different_key,D,correct,different_key,normal
3,0.75,75,726,S,different_key,S,correct,different_key,normal
