trial_num,prob_same,response_num,time_taken,response,correct,switch,target
2.0,0.8,18.0,767.0,0.0,1.0,0.0,0.0
2.0,0.8,19.0,755.0,0.0,1.0,0.0,0.0
2.0,0.8,20.0,747.0,0.0,1.0,0.0,0.0
2.0,0.8,21.0,754.0,0.0,1.0,0.0,0.0
2.0,0.8,22.0,674.0,0.0,1.0,0.0,0.0
2.0,0.8,23.0,707.0,0.0,1.0,0.0,0.0
2.0,0.8,24.0,685.0,0.0,0.0,1.0,1.0
2.0,0.8,25.0,718.0,0.0,0.0,0.0,1.0
2.0,0.8,26.0,1001.0,1.0,1.0,0.0,1.0
2.0,0.8,27.0,2291.0,0.0,1.0,1.0,0.0
2.0,0.8,28.0,897.0,0.0,1.0,0.0,0.0
2.0,0.8,29.0,1059.0,0.0,1.0,0.0,0.0
2.0,0.8,30.0,712.0,0.0,1.0,0.0,0.0
2.0,0.8,31.0,688.0,0.0,0.0,1.0,1.0
2.0,0.8,32.0,798.0,1.0,1.0,0.0,1.0
2.0,0.8,33.0,687.0,1.0,1.0,0.0,1.0
2.0,0.8,34.0,684.0,1.0,1.0,0.0,1.0
2.0,0.8,35.0,714.0,1.0,1.0,0.0,1.0
2.0,0.8,36.0,739.0,1.0,1.0,0.0,1.0
2.0,0.8,37.0,699.0,1.0,1.0,0.0,1.0
2.0,0.8,38.0,711.0,1.0,1.0,0.0,1.0
2.0,0.8,39.0,612.0,1.0,1.0,0.0,1.0
2.0,0.8,40.0,980.0,0.0,1.0,1.0,0.0
2.0,0.8,41.0,950.0,0.0,1.0,0.0,0.0
2.0,0.8,42.0,690.0,0.0,0.0,1.0,1.0
2.0,0.8,43.0,946.0,1.0,1.0,0.0,1.0
2.0,0.8,44.0,734.0,1.0,1.0,0.0,1.0
2.0,0.8,45.0,716.0,1.0,1.0,0.0,1.0
2.0,0.8,46.0,765.0,1.0,1.0,0.0,1.0
2.0,0.8,47.0,717.0,1.0,1.0,0.0,1.0
2.0,0.8,48.0,708.0,1.0,1.0,0.0,1.0
2.0,0.8,49.0,668.0,1.0,1.0,0.0,1.0
2.0,0.8,50.0,674.0,1.0,1.0,0.0,1.0
2.0,0.8,51.0,631.0,1.0,1.0,0.0,1.0
2.0,0.8,52.0,1295.0,0.0,1.0,1.0,0.0
2.0,0.8,53.0,1108.0,0.0,1.0,0.0,0.0
2.0,0.8,54.0,936.0,1.0,1.0,1.0,1.0
2.0,0.8,55.0,753.0,1.0,1.0,0.0,1.0
2.0,0.8,56.0,644.0,1.0,1.0,0.0,1.0
2.0,0.8,57.0,683.0,1.0,1.0,0.0,1.0
2.0,0.8,58.0,615.0,1.0,1.0,0.0,1.0
2.0,0.8,59.0,576.0,1.0,1.0,0.0,1.0
2.0,0.8,60.0,582.0,1.0,1.0,0.0,1.0
2.0,0.8,61.0,564.0,1.0,1.0,0.0,1.0
2.0,0.8,62.0,613.0,1.0,1.0,0.0,1.0
2.0,0.8,63.0,966.0,0.0,1.0,1.0,0.0
2.0,0.8,64.0,785.0,0.0,1.0,0.0,0.0
2.0,0.8,65.0,915.0,1.0,1.0,1.0,1.0
2.0,0.8,66.0,683.0,1.0,1.0,0.0,1.0
2.0,0.8,67.0,655.0,1.0,1.0,0.0,1.0
2.0,0.8,68.0,646.0,1.0,1.0,0.0,1.0
2.0,0.8,69.0,750.0,0.0,1.0,1.0,0.0
2.0,0.8,70.0,871.0,0.0,1.0,0.0,0.0
2.0,0.8,71.0,701.0,0.0,1.0,0.0,0.0
2.0,0.8,72.0,762.0,0.0,1.0,0.0,0.0
2.0,0.8,73.0,832.0,0.0,1.0,0.0,0.0
2.0,0.8,74.0,822.0,0.0,1.0,0.0,0.0
3.0,0.6,2.0,3148.0,0.0,1.0,1.0,0.0
3.0,0.6,3.0,777.0,0.0,1.0,0.0,0.0
3.0,0.6,4.0,689.0,0.0,1.0,0.0,0.0
3.0,0.6,5.0,720.0,0.0,1.0,0.0,0.0
3.0,0.6,6.0,968.0,0.0,1.0,0.0,0.0
3.0,0.6,7.0,902.0,0.0,1.0,0.0,0.0
3.0,0.6,8.0,733.0,0.0,1.0,0.0,0.0
3.0,0.6,9.0,763.0,0.0,1.0,0.0,0.0
3.0,0.6,10.0,1156.0,1.0,1.0,1.0,1.0
3.0,0.6,11.0,1140.0,1.0,1.0,0.0,1.0
