trial_num,prob_same,response_num,time_taken,response,correct,switch,target
2.0,0.6,23.0,841.0,1.0,1.0,0.0,1.0
2.0,0.6,24.0,720.0,0.0,1.0,1.0,0.0
2.0,0.6,25.0,769.0,0.0,1.0,0.0,0.0
2.0,0.6,26.0,691.0,0.0,0.0,1.0,1.0
2.0,0.6,27.0,691.0,1.0,1.0,0.0,1.0
2.0,0.6,28.0,872.0,0.0,1.0,1.0,0.0
2.0,0.6,29.0,800.0,1.0,0.0,0.0,0.0
2.0,0.6,30.0,792.0,0.0,0.0,1.0,1.0
2.0,0.6,31.0,889.0,1.0,1.0,0.0,1.0
2.0,0.6,32.0,1800.0,0.0,1.0,1.0,0.0
2.0,0.6,33.0,663.0,0.0,0.0,1.0,1.0
2.0,0.6,34.0,1577.0,0.0,1.0,1.0,0.0
2.0,0.6,35.0,816.0,1.0,1.0,1.0,1.0
2.0,0.6,36.0,904.0,0.0,1.0,1.0,0.0
2.0,0.6,37.0,904.0,1.0,1.0,1.0,1.0
2.0,0.6,38.0,744.0,1.0,1.0,0.0,1.0
2.0,0.6,39.0,777.0,0.0,1.0,1.0,0.0
2.0,0.6,40.0,1031.0,0.0,1.0,0.0,0.0
2.0,0.6,41.0,880.0,1.0,1.0,1.0,1.0
2.0,0.6,42.0,824.0,0.0,1.0,1.0,0.0
2.0,0.6,43.0,984.0,1.0,1.0,1.0,1.0
2.0,0.6,44.0,1024.0,1.0,1.0,0.0,1.0
2.0,0.6,45.0,792.0,0.0,1.0,1.0,0.0
2.0,0.6,46.0,769.0,1.0,1.0,1.0,1.0
2.0,0.6,47.0,772.0,1.0,1.0,0.0,1.0
2.0,0.6,48.0,763.0,1.0,1.0,0.0,1.0
2.0,0.6,49.0,721.0,1.0,1.0,0.0,1.0
2.0,0.6,50.0,713.0,0.0,1.0,1.0,0.0
2.0,0.6,51.0,999.0,0.0,1.0,0.0,0.0
2.0,0.6,52.0,871.0,1.0,1.0,1.0,1.0
2.0,0.6,53.0,680.0,1.0,1.0,0.0,1.0
2.0,0.6,54.0,867.0,0.0,1.0,1.0,0.0
2.0,0.6,55.0,917.0,0.0,1.0,0.0,0.0
2.0,0.6,56.0,688.0,0.0,1.0,0.0,0.0
2.0,0.6,57.0,747.0,1.0,1.0,1.0,1.0
2.0,0.6,58.0,653.0,1.0,1.0,0.0,1.0
2.0,0.6,59.0,608.0,1.0,1.0,0.0,1.0
2.0,0.6,60.0,715.0,1.0,1.0,0.0,1.0
2.0,0.6,61.0,565.0,1.0,1.0,0.0,1.0
2.0,0.6,62.0,585.0,1.0,1.0,0.0,1.0
2.0,0.6,63.0,607.0,1.0,1.0,0.0,1.0
2.0,0.6,64.0,761.0,0.0,1.0,1.0,0.0
2.0,0.6,65.0,1088.0,1.0,1.0,1.0,1.0
2.0,0.6,66.0,784.0,0.0,1.0,1.0,0.0
2.0,0.6,67.0,1408.0,0.0,1.0,0.0,0.0
2.0,0.6,68.0,944.0,0.0,1.0,0.0,0.0
2.0,0.6,69.0,800.0,1.0,1.0,1.0,1.0
2.0,0.6,70.0,703.0,1.0,1.0,0.0,1.0
2.0,0.6,71.0,705.0,1.0,1.0,0.0,1.0
3.0,0.7,2.0,664.0,0.0,1.0,0.0,0.0
3.0,0.7,3.0,640.0,0.0,1.0,0.0,0.0
3.0,0.7,4.0,664.0,0.0,1.0,0.0,0.0
3.0,0.7,5.0,697.0,0.0,1.0,0.0,0.0
3.0,0.7,6.0,647.0,0.0,1.0,0.0,0.0
3.0,0.7,7.0,810.0,1.0,1.0,1.0,1.0
3.0,0.7,8.0,631.0,1.0,1.0,0.0,1.0
3.0,0.7,9.0,630.0,1.0,1.0,0.0,1.0
3.0,0.7,10.0,697.0,0.0,1.0,1.0,0.0
3.0,0.7,11.0,872.0,1.0,1.0,1.0,1.0
3.0,0.7,12.0,779.0,1.0,1.0,0.0,1.0
3.0,0.7,13.0,686.0,0.0,1.0,1.0,0.0
3.0,0.7,14.0,855.0,1.0,0.0,0.0,0.0
3.0,0.7,15.0,1496.0,0.0,1.0,0.0,0.0
3.0,0.7,16.0,720.0,0.0,1.0,0.0,0.0
3.0,0.7,17.0,720.0,0.0,1.0,0.0,0.0
3.0,0.7,18.0,744.0,0.0,1.0,0.0,0.0
3.0,0.7,19.0,776.0,1.0,1.0,1.0,1.0
3.0,0.7,20.0,616.0,1.0,1.0,0.0,1.0
3.0,0.7,21.0,600.0,1.0,1.0,0.0,1.0
3.0,0.7,22.0,599.0,1.0,1.0,0.0,1.0
3.0,0.7,23.0,722.0,0.0,1.0,1.0,0.0
3.0,0.7,24.0,831.0,1.0,1.0,1.0,1.0
3.0,0.7,25.0,648.0,1.0,1.0,0.0,1.0
3.0,0.7,26.0,673.0,1.0,1.0,0.0,1.0
3.0,0.7,27.0,664.0,1.0,1.0,0.0,1.0
3.0,0.7,28.0,794.0,0.0,1.0,1.0,0.0
3.0,0.7,29.0,846.0,0.0,1.0,0.0,0.0
3.0,0.7,30.0,864.0,1.0,1.0,1.0,1.0
3.0,0.7,31.0,624.0,1.0,1.0,0.0,1.0
3.0,0.7,32.0,647.0,1.0,1.0,0.0,1.0
3.0,0.7,33.0,584.0,1.0,1.0,0.0,1.0
3.0,0.7,34.0,813.0,0.0,1.0,1.0,0.0
3.0,0.7,35.0,868.0,1.0,1.0,1.0,1.0
3.0,0.7,36.0,600.0,1.0,1.0,0.0,1.0
3.0,0.7,37.0,607.0,1.0,1.0,0.0,1.0
3.0,0.7,38.0,672.0,1.0,1.0,0.0,1.0
3.0,0.7,39.0,651.0,1.0,1.0,0.0,1.0
3.0,0.7,40.0,653.0,1.0,1.0,0.0,1.0
3.0,0.7,41.0,754.0,0.0,1.0,1.0,0.0
3.0,0.7,42.0,1038.0,0.0,1.0,0.0,0.0
3.0,0.7,43.0,808.0,0.0,1.0,0.0,0.0
3.0,0.7,44.0,953.0,1.0,1.0,1.0,1.0
3.0,0.7,45.0,647.0,1.0,1.0,0.0,1.0
3.0,0.7,46.0,649.0,1.0,1.0,0.0,1.0
3.0,0.7,47.0,712.0,0.0,1.0,1.0,0.0
3.0,0.7,48.0,1256.0,0.0,1.0,0.0,0.0
3.0,0.7,49.0,884.0,1.0,1.0,1.0,1.0
3.0,0.7,50.0,588.0,1.0,1.0,0.0,1.0
3.0,0.7,51.0,775.0,0.0,1.0,1.0,0.0
3.0,0.7,52.0,816.0,0.0,1.0,0.0,0.0
3.0,0.7,53.0,674.0,0.0,1.0,0.0,0.0
3.0,0.7,54.0,791.0,1.0,1.0,1.0,1.0
3.0,0.7,55.0,616.0,1.0,1.0,0.0,1.0
3.0,0.7,56.0,664.0,1.0,1.0,0.0,1.0
3.0,0.7,57.0,683.0,1.0,1.0,0.0,1.0
3.0,0.7,58.0,685.0,1.0,1.0,0.0,1.0
3.0,0.7,59.0,825.0,0.0,1.0,1.0,0.0
3.0,0.7,60.0,1023.0,1.0,1.0,1.0,1.0
3.0,0.7,61.0,704.0,1.0,1.0,0.0,1.0
3.0,0.7,62.0,883.0,0.0,1.0,1.0,0.0
3.0,0.7,63.0,1013.0,0.0,1.0,0.0,0.0
3.0,0.7,64.0,848.0,0.0,1.0,0.0,0.0
3.0,0.7,65.0,760.0,0.0,1.0,0.0,0.0
3.0,0.7,66.0,682.0,0.0,1.0,0.0,0.0
3.0,0.7,67.0,662.0,0.0,1.0,0.0,0.0
3.0,0.7,68.0,624.0,0.0,1.0,0.0,0.0
3.0,0.7,69.0,808.0,0.0,1.0,0.0,0.0
3.0,0.7,70.0,657.0,0.0,1.0,0.0,0.0
3.0,0.7,71.0,801.0,1.0,1.0,1.0,1.0
3.0,0.7,72.0,622.0,1.0,1.0,0.0,1.0
3.0,0.7,73.0,832.0,0.0,1.0,1.0,0.0
3.0,0.7,74.0,884.0,1.0,1.0,1.0,1.0
3.0,0.7,75.0,580.0,1.0,1.0,0.0,1.0
3.0,0.7,76.0,824.0,0.0,1.0,1.0,0.0
3.0,0.7,77.0,904.0,0.0,1.0,0.0,0.0
3.0,0.7,78.0,882.0,1.0,1.0,1.0,1.0
3.0,0.7,79.0,663.0,1.0,1.0,0.0,1.0
4.0,0.6,2.0,3132.0,1.0,0.0,1.0,0.0
4.0,0.6,3.0,1109.0,0.0,1.0,0.0,0.0
4.0,0.6,4.0,903.0,1.0,1.0,1.0,1.0
4.0,0.6,5.0,728.0,1.0,1.0,0.0,1.0
4.0,0.6,6.0,825.0,0.0,1.0,1.0,0.0
4.0,0.6,7.0,760.0,0.0,1.0,0.0,0.0
4.0,0.6,8.0,664.0,0.0,1.0,0.0,0.0
4.0,0.6,9.0,656.0,0.0,1.0,0.0,0.0
4.0,0.6,10.0,720.0,1.0,1.0,1.0,1.0
4.0,0.6,11.0,616.0,1.0,1.0,0.0,1.0
4.0,0.6,12.0,728.0,0.0,1.0,1.0,0.0
4.0,0.6,13.0,1041.0,1.0,1.0,1.0,1.0
4.0,0.6,14.0,814.0,1.0,1.0,0.0,1.0
4.0,0.6,15.0,744.0,0.0,1.0,1.0,0.0
4.0,0.6,16.0,777.0,1.0,1.0,1.0,1.0
4.0,0.6,17.0,682.0,1.0,1.0,0.0,1.0
4.0,0.6,18.0,710.0,1.0,1.0,0.0,1.0
4.0,0.6,19.0,777.0,0.0,1.0,1.0,0.0
4.0,0.6,20.0,935.0,1.0,1.0,1.0,1.0
4.0,0.6,21.0,648.0,1.0,1.0,0.0,1.0
4.0,0.6,22.0,615.0,1.0,1.0,0.0,1.0
4.0,0.6,23.0,745.0,0.0,1.0,1.0,0.0
4.0,0.6,24.0,833.0,0.0,1.0,0.0,0.0
4.0,0.6,25.0,639.0,0.0,1.0,0.0,0.0
4.0,0.6,26.0,656.0,0.0,1.0,0.0,0.0
4.0,0.6,27.0,1011.0,1.0,1.0,1.0,1.0
4.0,0.6,28.0,877.0,0.0,1.0,1.0,0.0
4.0,0.6,29.0,881.0,1.0,0.0,0.0,0.0
4.0,0.6,30.0,1223.0,0.0,1.0,0.0,0.0
4.0,0.6,31.0,792.0,0.0,1.0,0.0,0.0
4.0,0.6,32.0,704.0,0.0,1.0,0.0,0.0
4.0,0.6,33.0,688.0,0.0,1.0,0.0,0.0
4.0,0.6,34.0,624.0,0.0,0.0,1.0,1.0
4.0,0.6,35.0,1096.0,0.0,1.0,1.0,0.0
4.0,0.6,36.0,1456.0,0.0,1.0,0.0,0.0
4.0,0.6,37.0,690.0,0.0,1.0,0.0,0.0
4.0,0.6,38.0,710.0,0.0,1.0,0.0,0.0
4.0,0.6,39.0,800.0,1.0,1.0,1.0,1.0
4.0,0.6,40.0,600.0,1.0,1.0,0.0,1.0
4.0,0.6,41.0,761.0,0.0,1.0,1.0,0.0
4.0,0.6,42.0,1664.0,1.0,1.0,1.0,1.0
4.0,0.6,43.0,631.0,1.0,1.0,0.0,1.0
4.0,0.6,44.0,760.0,0.0,1.0,1.0,0.0
4.0,0.6,45.0,769.0,1.0,0.0,0.0,0.0
4.0,0.6,46.0,1016.0,0.0,1.0,0.0,0.0
4.0,0.6,47.0,696.0,0.0,1.0,0.0,0.0
4.0,0.6,48.0,784.0,0.0,0.0,1.0,1.0
4.0,0.6,49.0,712.0,1.0,1.0,0.0,1.0
4.0,0.6,50.0,640.0,1.0,1.0,0.0,1.0
4.0,0.6,51.0,672.0,1.0,1.0,0.0,1.0
4.0,0.6,52.0,814.0,0.0,1.0,1.0,0.0
4.0,0.6,53.0,802.0,1.0,0.0,0.0,0.0
4.0,0.6,54.0,1009.0,0.0,0.0,1.0,1.0
