"","trial_number","prob_same","response_number","time_taken","response_was_S","response_was_correct","target_response_switched","target_response_was_S","actual_response_switched","previous_actual_response_was_switch","previous_target_response_was_switch","previous_response_was_error","number_of_same_preceeding","number_of_different_preceeding"
"82",2,0.8,13,840,0,1,0,0,0,0,0,0,0,9
"83",2,0.8,14,850,0,1,0,0,0,0,0,0,0,10
"84",2,0.8,15,842,0,1,0,0,0,0,0,0,0,11
"85",2,0.8,16,846,0,1,0,0,0,0,0,0,0,12
"86",2,0.8,17,708,0,1,0,0,0,0,0,0,0,13
"87",2,0.8,18,767,0,1,0,0,0,0,0,0,0,14
"88",2,0.8,19,755,0,1,0,0,0,0,0,0,0,15
"89",2,0.8,20,747,0,1,0,0,0,0,0,0,0,16
"90",2,0.8,21,754,0,1,0,0,0,0,0,0,0,17
"91",2,0.8,22,674,0,1,0,0,0,0,0,0,0,18
"92",2,0.8,23,707,0,1,0,0,0,0,0,0,0,19
"93",2,0.8,24,685,0,0,1,1,0,0,0,0,0,0
"94",2,0.8,25,718,0,0,0,1,0,0,1,1,1,0
"95",2,0.8,26,1001,1,1,0,1,1,0,0,1,2,0
"96",2,0.8,27,2291,0,1,1,0,1,1,0,0,0,0
"97",2,0.8,28,897,0,1,0,0,0,1,1,0,0,1
"98",2,0.8,29,1059,0,1,0,0,0,0,0,0,0,2
"99",2,0.8,30,712,0,1,0,0,0,0,0,0,0,3
"100",2,0.8,31,688,0,0,1,1,0,0,0,0,0,0
"101",2,0.8,32,798,1,1,0,1,1,0,1,1,1,0
"102",2,0.8,33,687,1,1,0,1,0,1,0,0,2,0
"103",2,0.8,34,684,1,1,0,1,0,0,0,0,3,0
"104",2,0.8,35,714,1,1,0,1,0,0,0,0,4,0
"105",2,0.8,36,739,1,1,0,1,0,0,0,0,5,0
"106",2,0.8,37,699,1,1,0,1,0,0,0,0,6,0
"107",2,0.8,38,711,1,1,0,1,0,0,0,0,7,0
"108",2,0.8,39,612,1,1,0,1,0,0,0,0,8,0
"109",2,0.8,40,980,0,1,1,0,1,0,0,0,0,0
"110",2,0.8,41,950,0,1,0,0,0,1,1,0,0,1
"111",2,0.8,42,690,0,0,1,1,0,0,0,0,0,0
"112",2,0.8,43,946,1,1,0,1,1,0,1,1,1,0
"113",2,0.8,44,734,1,1,0,1,0,1,0,0,2,0
"114",2,0.8,45,716,1,1,0,1,0,0,0,0,3,0
"115",2,0.8,46,765,1,1,0,1,0,0,0,0,4,0
"116",2,0.8,47,717,1,1,0,1,0,0,0,0,5,0
"117",2,0.8,48,708,1,1,0,1,0,0,0,0,6,0
"118",2,0.8,49,668,1,1,0,1,0,0,0,0,7,0
"119",2,0.8,50,674,1,1,0,1,0,0,0,0,8,0
"120",2,0.8,51,631,1,1,0,1,0,0,0,0,9,0
"121",2,0.8,52,1295,0,1,1,0,1,0,0,0,0,0
"122",2,0.8,53,1108,0,1,0,0,0,1,1,0,0,1
"123",2,0.8,54,936,1,1,1,1,1,0,0,0,0,0
"124",2,0.8,55,753,1,1,0,1,0,1,1,0,1,0
"125",2,0.8,56,644,1,1,0,1,0,0,0,0,2,0
"126",2,0.8,57,683,1,1,0,1,0,0,0,0,3,0
"127",2,0.8,58,615,1,1,0,1,0,0,0,0,4,0
"128",2,0.8,59,576,1,1,0,1,0,0,0,0,5,0
"129",2,0.8,60,582,1,1,0,1,0,0,0,0,6,0
"130",2,0.8,61,564,1,1,0,1,0,0,0,0,7,0
"131",2,0.8,62,613,1,1,0,1,0,0,0,0,8,0
"132",2,0.8,63,966,0,1,1,0,1,0,0,0,0,0
"133",2,0.8,64,785,0,1,0,0,0,1,1,0,0,1
"134",2,0.8,65,915,1,1,1,1,1,0,0,0,0,0
"135",2,0.8,66,683,1,1,0,1,0,1,1,0,1,0
"136",2,0.8,67,655,1,1,0,1,0,0,0,0,2,0
"137",2,0.8,68,646,1,1,0,1,0,0,0,0,3,0
"138",2,0.8,69,750,0,1,1,0,1,0,0,0,0,0
"139",2,0.8,70,871,0,1,0,0,0,1,1,0,0,1
"140",2,0.8,71,701,0,1,0,0,0,0,0,0,0,2
"141",2,0.8,72,762,0,1,0,0,0,0,0,0,0,3
"142",2,0.8,73,832,0,1,0,0,0,0,0,0,0,4
"143",2,0.8,74,822,0,1,0,0,0,0,0,0,0,5
"144",3,0.6,2,3148,0,1,1,0,0,0,0,0,0,6
"145",3,0.6,3,777,0,1,0,0,0,0,1,0,0,7
"146",3,0.6,4,689,0,1,0,0,0,0,0,0,0,8
"147",3,0.6,5,720,0,1,0,0,0,0,0,0,0,9
"148",3,0.6,6,968,0,1,0,0,0,0,0,0,0,10
"149",3,0.6,7,902,0,1,0,0,0,0,0,0,0,11
"150",3,0.6,8,733,0,1,0,0,0,0,0,0,0,12
"151",3,0.6,9,763,0,1,0,0,0,0,0,0,0,13
"152",3,0.6,10,1156,1,1,1,1,1,0,0,0,0,0
"153",3,0.6,11,1140,1,1,0,1,0,1,1,0,1,0
"154",3,0.6,12,615,1,1,0,1,0,0,0,0,2,0
"155",3,0.6,13,636,1,1,0,1,0,0,0,0,3,0
"156",3,0.6,14,853,0,1,1,0,1,0,0,0,0,0
"157",3,0.6,15,952,0,1,0,0,0,1,1,0,0,1
"158",3,0.6,16,1101,0,1,0,0,0,0,0,0,0,2
"159",3,0.6,17,912,0,1,0,0,0,0,0,0,0,3
"160",3,0.6,18,691,0,0,1,1,0,0,0,0,0,0
"161",3,0.6,19,1632,0,1,1,0,0,0,1,1,0,0
"162",3,0.6,20,795,0,0,1,1,0,0,1,0,0,0
"163",3,0.6,21,747,1,1,0,1,1,0,1,1,1,0
"164",3,0.6,22,665,1,1,0,1,0,1,0,0,2,0
"165",3,0.6,23,584,1,1,0,1,0,0,0,0,3,0
"166",3,0.6,24,517,1,1,0,1,0,0,0,0,4,0
"167",3,0.6,25,567,1,1,0,1,0,0,0,0,5,0
"168",3,0.6,26,493,1,1,0,1,0,0,0,0,6,0
"169",3,0.6,27,508,1,1,0,1,0,0,0,0,7,0
"170",3,0.6,28,516,1,0,1,0,0,0,0,0,0,0
"171",3,0.6,29,674,0,0,1,1,1,0,1,1,0,0
"172",3,0.6,30,2800,0,1,1,0,0,1,1,1,0,0
"173",3,0.6,31,1252,0,1,0,0,0,0,1,0,0,1
"174",3,0.6,32,990,0,1,0,0,0,0,0,0,0,2
"175",3,0.6,33,1210,1,1,1,1,1,0,0,0,0,0
"176",3,0.6,34,723,1,1,0,1,0,1,1,0,1,0
"177",3,0.6,35,547,1,1,0,1,0,0,0,0,2,0
"178",3,0.6,36,545,1,1,0,1,0,0,0,0,3,0
"179",3,0.6,37,525,1,1,0,1,0,0,0,0,4,0
"180",3,0.6,38,886,1,1,0,1,0,0,0,0,5,0
"181",3,0.6,39,606,1,1,0,1,0,0,0,0,6,0
"182",3,0.6,40,616,1,1,0,1,0,0,0,0,7,0
"183",3,0.6,41,1166,0,1,1,0,1,0,0,0,0,0
"184",3,0.6,42,1191,1,0,0,0,1,1,1,0,0,1
"185",3,0.6,43,934,0,0,1,1,1,1,0,1,0,0
"186",3,0.6,44,3805,1,0,1,0,1,1,1,1,0,0
"187",3,0.6,45,860,1,1,1,1,0,1,1,1,0,0
"188",3,0.6,46,907,0,1,1,0,1,0,1,0,0,0
"189",3,0.6,47,1159,1,1,1,1,1,1,1,0,0,0
"190",3,0.6,48,694,1,1,0,1,0,1,1,0,1,0
"191",3,0.6,49,544,1,1,0,1,0,0,0,0,2,0
"192",3,0.6,50,536,1,1,0,1,0,0,0,0,3,0
"193",3,0.6,51,545,1,1,0,1,0,0,0,0,4,0
"194",3,0.6,52,817,0,1,1,0,1,0,0,0,0,0
"195",3,0.6,53,1054,1,0,0,0,1,1,1,0,0,1
"196",3,0.6,54,996,0,1,0,0,1,1,0,1,0,2
"197",3,0.6,55,614,0,0,1,1,0,1,0,0,0,0
"198",3,0.6,56,736,1,1,0,1,1,0,1,1,1,0
"199",3,0.6,57,2546,1,1,0,1,0,1,0,0,2,0
"200",3,0.6,58,815,0,1,1,0,1,0,0,0,0,0
"201",3,0.6,59,1667,0,1,0,0,0,1,1,0,0,1
"202",3,0.6,60,965,1,1,1,1,1,0,0,0,0,0
"203",3,0.6,61,1260,0,1,1,0,1,1,1,0,0,0
"204",4,0.8,2,2164,1,1,1,1,1,1,1,0,0,0
"205",4,0.8,3,820,0,1,1,0,1,1,1,0,0,0
"206",4,0.8,4,934,0,1,0,0,0,1,1,0,0,1
"207",4,0.8,5,698,0,1,0,0,0,0,0,0,0,2
"208",4,0.8,6,657,0,1,0,0,0,0,0,0,0,3
"209",4,0.8,7,650,0,1,0,0,0,0,0,0,0,4
"210",4,0.8,8,788,0,1,0,0,0,0,0,0,0,5
"211",4,0.8,9,986,1,1,1,1,1,0,0,0,0,0
"212",4,0.8,10,951,0,1,1,0,1,1,1,0,0,0
"213",4,0.8,11,1251,0,1,0,0,0,1,1,0,0,1
"214",4,0.8,12,1007,1,1,1,1,1,0,0,0,0,0
"215",4,0.8,13,2789,0,1,1,0,1,1,1,0,0,0
"216",4,0.8,14,787,0,1,0,0,0,1,1,0,0,1
"217",4,0.8,15,666,0,1,0,0,0,0,0,0,0,2
"218",4,0.8,16,755,0,1,0,0,0,0,0,0,0,3
"219",4,0.8,17,669,0,0,1,1,0,0,0,0,0,0
"220",4,0.8,18,630,1,1,0,1,1,0,1,1,1,0
"221",4,0.8,19,677,1,1,0,1,0,1,0,0,2,0
"222",4,0.8,20,787,0,1,1,0,1,0,0,0,0,0
"223",4,0.8,21,931,0,1,0,0,0,1,1,0,0,1
"224",4,0.8,22,1211,0,1,0,0,0,0,0,0,0,2
"225",4,0.8,23,795,0,1,0,0,0,0,0,0,0,3
"226",4,0.8,24,784,0,1,0,0,0,0,0,0,0,4
"227",4,0.8,25,1011,1,1,1,1,1,0,0,0,0,0
"228",4,0.8,26,851,1,1,0,1,0,1,1,0,1,0
"229",4,0.8,27,796,1,1,0,1,0,0,0,0,2,0
"230",4,0.8,28,704,1,1,0,1,0,0,0,0,3,0
"231",4,0.8,29,754,1,1,0,1,0,0,0,0,4,0
"232",4,0.8,30,612,1,1,0,1,0,0,0,0,5,0
"233",4,0.8,31,564,1,1,0,1,0,0,0,0,6,0
"234",4,0.8,32,618,1,1,0,1,0,0,0,0,7,0
"235",4,0.8,33,601,1,1,0,1,0,0,0,0,8,0
"236",4,0.8,34,633,1,1,0,1,0,0,0,0,9,0
"237",4,0.8,35,608,1,1,0,1,0,0,0,0,10,0
"238",4,0.8,36,574,1,1,0,1,0,0,0,0,11,0
"239",4,0.8,37,610,1,1,0,1,0,0,0,0,12,0
